episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.2779056658037007,True,False
2,460.0,702,1087,0.2,0.025979083803990347,1.4400324579328299,True,False
3,430.0,506,1593,0.2,0.027948304325595176,6.349542832933366,True,False
4,820.0,1098,2691,0.2,0.025624516713866338,17.38142399955541,True,False
5,120.0,311,3002,0.2,0.025156712010264013,20.529014624655247,True,False
6,970.0,570,3572,0.2,0.02666815198435679,26.114000082947314,True,False
7,560.0,538,4110,0.2,0.027587378966629005,31.40386966569349,True,False
8,1910.0,691,4801,0.2,0.028543178548947556,38.01730487495661,True,False
9,510.0,611,5412,0.2,0.031031830988830455,43.705414957832545,True,False
10,1200.0,548,5960,0.2,0.03246823696922647,48.85157549986616,True,False
11,190.0,341,6301,0.2,0.03499787669382332,52.304902540985495,True,False
12,720.0,607,6908,0.2,0.03249056800574947,57.885450415778905,True,False
13,520.0,442,7350,0.2,0.03918515607206659,62.25461133290082,True,False
14,460.0,576,7926,0.2,0.0362288725987633,67.7436107499525,True,False
15,470.0,562,8488,0.2,0.04333479798494686,73.38622362492606,True,False
16,380.0,521,9009,0.2,0.0399962603714532,78.78137908270583,True,False
17,610.0,564,9573,0.2,0.03974623836705739,84.69187145773321,True,False
18,660.0,558,10131,0.2,0.038180697086206875,90.0681613329798,True,False
19,940.0,753,10884,0.2,0.03771870923672049,97.87002666573972,True,False
20,930.0,797,11681,0.2,0.038998351127012214,105.84191283257678,True,False
21,530.0,591,12272,0.2,0.03811153203384271,111.94852991588414,True,False
22,280.0,519,12791,0.2,0.03887869593824527,117.13245108257979,True,False
23,1350.0,711,13502,0.2,0.038958348244889064,124.34430233296007,True,False
24,700.0,628,14130,0.2,0.0396607526649193,130.72245037462562,True,False
25,430.0,634,14764,0.2,0.03956525686413706,136.99899333296344,True,False
26,710.0,669,15433,0.2,0.04051208312059948,145.87018337473273,True,False
27,170.0,432,15865,0.2,0.04115189182899754,150.32478204090148,True,False
28,540.0,780,16645,0.2,0.03922612173721576,158.34965299954638,True,False
29,370.0,632,17277,0.2,0.039036673526102794,164.2725449576974,True,False
30,300.0,391,17668,0.2,0.03751444529352368,168.05148112494498,True,False
